Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"10th September, 2020",Swabi,KP,Transgender person killed by 13 year old brother for dancing at wedding,Killed by Gunshot,,Transgender,,,,,"https://www.dawn.com/news/1579179/transgender-person-killed-by-brother-in-swabi, https://www.pinknews.co.uk/2020/09/14/pakistan-transgender-woman-shot-dead-brother-swabi-third-gender/",,,
"13th September, 2020",Jehlum,Punjab,"A girl , Tasneem Iqbal, was allegedly gang-raped by three people in Jhelum city of Punjab.",Gang Rape,,Female,,,,,https://mmnews.tv/three-arrested-for-sexually-assaulting-girl-in-jhelum/,,,
"13th September, 2020",Gujranwala,Punjab,Girl repeatedly raped by stepfather,Rape,17,Female,,,,,https://arynews.tv/en/teenage-girl-raped-stepfather-gujranwala/,,,
"13th September, 2020",Bahawalpur,Punjab,Girl sexually assaulted at gunpoint by infulential person,Rape,12,Female,,,,,https://manzilnews.pk/12-year-old-girl-allegedly-raped-by-influential-person-in-bahawalpur/,,,
"14th September, 2020",Bahawalpur,Punjab,Woman gang raped ater returning home from marriage ceremony,Gang rape,,Female,,,,,https://mmnews.tv/girl-gang-raped-after-attending-marriage-ceremony-in-bahawalpur/,,,
"14th September, 2020",Bahawalpur,Punjab,A 20-year-old woman was allegedly raped by her friend’s brother in Bahawalpur on her way back from a friend's house.,Rape,20,Female,,,,,https://www.samaa.tv/news/pakistan/2020/09/lodhran-woman-attacked/,,,
"14th September, 2020",Lahore,Punjab,First wife of man killed by second wife with help of brother and other accomplices by repeatedly stabbing her,Murder,,Female,,,,,https://gulfnews.com/world/asia/pakistan/pakistan-woman-kills-husbands-first-wife-in-lahore-1.1600269973780,,,
"14th September, 2020",Sargodha,Punjab,Woman killed by 9 year old nephew,Honor killing,30,Female,,,,,https://www.geo.tv/latest/309343-9-year-old-allegedly-shoots-paternal-aunt-dead-for-marriage-of-choice,,,
"14th October, 2020",Sargodha,Punjab,Girl killed by brother over honor,Honor killing,16,Female,,,,,https://www.urdupoint.com/en/pakistan/woman-shot-dead-in-sargodha-1056407.html,,,
"15th September, 2020",Sargodha,Punjab,Girl who was a housemaid raped repeatedly over period of 6 months by landlord,Rape,16,Female,,,,,https://arynews.tv/en/sargodha-16-year-old-girl-allegedly-raped-by-landlord/,,,
"15th September, 2020",Hyderabad,Sindh,"Sobia Qazi, a lawyer killed by husband",Murder,30,Female,,,,,https://www.brecorder.com/news/40018684/woman-lawyer-allegedly-killed-by-husband,,,
"16th September, 2020",Lahore,Punjab,Woman shot by her brother,Killed by Gunshot,35,Female,,,,,,,,
"16th September, 2020",Taxila,Punjab,"Maid's body found, gang raped and strangled to death",Rape and murder,45,Female,,,,,"https://nation.com.pk/16-Sep-2020/woman-maid-strangulated-to-death-after-sexual-assault, https://nation.com.pk/08-Oct-2020/police-arrest-3-men-on-charges-of-murdering-woman-after-gang-rape",,,
"17th September, 2020",Faisalabad,Punjab,Girl abducted from Jhang Road and gang raped by 5 men,Abduction and Gang Rape,,Female,,,,,https://arynews.tv/en/girl-abducted-gang-raped-men-faisalabad/,,,
"17th September, 2020",Gujranwala,Punjab,"Girl raped for over a year at gunpoint by infuential man, victim was also filmed and blackmailed for money","Rape, Blackmail",,Female,,,,,https://arynews.tv/en/girl-raped-gun-point-gujranwala-fir/,,,
"17th September, 2020",Lahore,Punjab,Woman killed by husband after refusing to sign over property,Murder,,Female,,,,,https://www.samaa.tv/news/pakistan/2020/09/lahore-crime/,,,
"17th September, 2020",Khairpur,Sindh,A 12-year-old girl managed to escape a rape attempt by a known sex offender in her village in Khairpur,"Child abuse, attempted rape",12,Female,,,,,https://www.samaa.tv/news/pakistan/2020/09/khairpur-girl-neighbour-rape/,,,
"18th September, 2020",Faisalabad,Punjab,Woman raped by robbers who broke into house in front of daughters,Robbery and Rape,,Female,,,,,"https://www.pakistantoday.com.pk/2020/09/18/robbers-rape-woman-in-front-of-daughters-in-faisalabad/, https://arynews.tv/en/woman-raped-robbery-faisalabad/",,,
"18th September, 2020",Bahawalpur,Punjab,Woman committed suicide after unable to register FIR against assaulter,Rape,,Female,,,,,"https://www.samaa.tv/news/2020/09/bahawalpur-woman-police-refuse-to-register-case/, https://www.24newshd.tv/17-Sep-2020/girl-commits-suicide-after-being-raped-by-landlord-in-bahawalpur",,,
"18th September, 2020",Ferozwala,Punjab,Gang Rape of Woman in front of Husband,Rape,,Female,,,,,"https://mmnews.tv/woman-gang-raped-in-front-of-her-husband/, https://dunyanews.tv/en/Pakistan/564605-Woman-gang-raped-in-front-of-her-husband-in-Ferozwala",,,
"18th September, 2020",Faisalabad,Punjab,Woman raped by robbers who broke into house in front of daughters,Robbery and Rape,,Female,,,,,"https://www.pakistantoday.com.pk/2020/09/18/robbers-rape-woman-in-front-of-daughters-in-faisalabad/, https://arynews.tv/en/woman-raped-robbery-faisalabad/",,,
"19th September, 2020",Mithi,Sindh,"A man, Anwar Bajeer, was arrested by the Mithi police on charges of attempting to sexually abuse a young boy in Fakeer Hussain village near Tharparkar’s Mithi town","Child abuse, attempted rape",9,Male,,,,,https://www.samaa.tv/news/2020/09/man-arrested-mithi/,,,
"19th September, 2020",Burewala,Punjab,Five men abducted a woman from a shrine and raped her in a union council office in Burewala. She had come from Faisalabad to Burewala’s Sahuka town to visit the shrine of Baba Haji Sher Muhammad Dewan.,Gang rape,,Female,,,,,https://www.samaa.tv/news/2020/09/five-men-abduct-and-rape-woman-visiting-burewala-shrine-police/,,,
"21st September, 2020",Sargodha,Punjab,Woman gang raped by robbers in front of family,"Robbery, gang rape",,Female,,,,,https://www.dawn.com/news/1580786/woman-gang-raped-by-robbers-in-familys-presence-in-punjab,,,
"21st September, 2020",Sheikhupura,Punjab,A minor girl going to her home from the market was gang-raped by a man and his accomplice took at an outhouse .,"Child abuse, gang rape","Unknown, minor",Female,,,,,https://www.dawn.com/news/1580772/two-minor-girls-raped,,,
"21st September, 2020",Sheikhupura,Punjab,"At village Bhekhi, a 10-year-old girl was raped by her neighbour.","Child abuse, rape",10,Female,,,,,https://www.dawn.com/news/1580772/two-minor-girls-raped,,,
"21st September, 2020",Lahore,Punjab,Unidentified persons strangled elderly woman to death,Murder and Robbery,70,Female,,,,,https://www.geo.tv/latest/309684-police-nab-three-including-domestic-help-over-elderly-womans-murder-in-lahores-dha,,,
"22nd September, 2020",Khairpur,Sindh,Young girl raped by two men,Rape,13,Female,,,,,https://www.samaa.tv/news/pakistan/2020/09/two-men-rape-13-year-old-in-khairpur/,,,
"22nd September, 2020",Mirali,North Waziristan,Lady health worker shot,Murder,,Female,,,,,https://www.dawn.com/news/1580991/lady-health-worker-shot-dead-in-mirali,,,
"22nd September, 2020",Jacobabad,Sindh,A man allegedly strangled his wife to death for unknown reasons and fled.,Murder ,,Female,,,,,https://www.geo.tv/latest/309161-at-least-two-women-killed-six-rape-incidents-reported-across-pakistan,,,
"22nd September, 2020",Rajanpur,Sindh,A man allegedly shot his wife dead and escaped,Murder,,Female,,,,,https://www.geo.tv/latest/309161-at-least-two-women-killed-six-rape-incidents-reported-across-pakistan,,,
23rd September 2020,Karachi,Sindh,Woman kidnapped by two unidentfified men standing outside mall and then raped,"Abduction, Rape",22,Female,,,,,https://nation.com.pk/23-Sep-2020/woman-kidnapped-molested-by-unidentified-men-in-karachi,,,
"23rd September, 2020",Khairpur,Sindh,Rehana Shah shot and killed by husband Hussain during argument,Killed by Gunshot,22,Female,,,,,https://www.samaa.tv/news/pakistan/2020/09/khairpur-man-shoots-wife-dead-during-argument/,,,
"23rd September, 2020",Muzzafarabad,Azad Kashmir,Police apprehended two cousins accused of separately raping a 10-year-old orphan girl from their kin,"Child abuse, rape",10,Female,,,,,https://www.dawn.com/news/1581100/two-cousins-held-on-charge-of-raping-girl,,,
"23rd September, 2020",Sahiwal,Punjab,"Ghala Mandi police registered a case against the owner of a commercial theatre, his younger brother and six others for making a rape attempt on the Lahore-based stage actress and torturing her.",Attempted Rape,,Female,,,,,https://www.dawn.com/news/1581145/theatre-owner-among-eight-booked-for-rape-bid-on-actress,,,
"23rd September, 2020",Sargodha,Punjab,A minor boy allegedly shot dead his paternal aunt for ‘honour’ for marrying based her own will,"Murder, honour killing",,Female,,,,,https://www.dawn.com/news/1581157/minor-boy-kills-aunt-for-honour,,,
"23rd September, 2020",Jamshoro,Sindh,A Matric student said on Wednesday that three men tried to rape her by dragging her into a deserted house while she was on her way to school. She complained that all three men had been harassing her for the past two years and were pressuring her to be their “friend”.,Attempted rape,"Unknown, but minor",Female,,,,,https://www.samaa.tv/news/2020/09/two-jamshoro-arrested-teenager/,,,
"24th September, 2020",Swat,KP,A 13-year-old boy was raped and then murdered by his relative in Swat’s Madyan,"Child abuse, rape, murder",13,Male,,,,,https://www.samaa.tv/news/pakistan/2020/09/swat-13-year-old-boy-attacked-by-relative-police/,,,
"24th September, 2020",Karachi,Sindh,"An eight-year-old boy was kidnapped, raped and murdered in F.B Industrial Area",Rape and murder,8,Male,,,,,https://www.dawn.com/news/1581729,,,
"24th September, 2020",Mansehera,KP,Rape of minor girl,"Child abuse, rape",4,Female,,,,,https://www.dawn.com/news/1581354/minor-girl-raped-in-mansehra-protesters-call-for-hanging,,,
"24th September, 2020",Nankana Sahib,Punjab,Woman abducted from bus stop and gang raped,"Abduction, Gang Rape",,Female,,,,,"https://tribune.com.pk/story/2266495/woman-abducted-gang-raped-in-nankana-sahib, https://www.pakistantoday.com.pk/2020/10/01/buzdar-takes-notice-after-woman-gang-raped-in-nankana-sahib/",,,
"25th September, 2020",Okara,Punjab,,"Child abuse, rape","Unknown, but minor",Male,,,,,https://www.dawn.com/news/1581466/eight-raped-in-parts-of-punjab,,,
"25th September, 2020",Okara,Punjab,,"Child abuse, rape","Unknown, but minor",Male,,,,,https://www.dawn.com/news/1581466/eight-raped-in-parts-of-punjab,,,
"25th September, 2020",Okara,Punjab,A woman was gang-raped in an area in the Shahbore police station jurisdiction. She escaped the perpetrators after five months and police registered a case.,Gang rape,,Female,,,,,https://www.dawn.com/news/1581466/eight-raped-in-parts-of-punjab,,,
"25th September, 2020",Okara,Punjab,A girl was raped at 1/1AL village and police registered a case. A police team arrested one of the rapists of a girl at Lai Fazal Shah village.,Rape,"Unknown, but minor",Female,,,,,https://www.dawn.com/news/1581466/eight-raped-in-parts-of-punjab,,,
"25th September, 2020",Chiniot,Punjab,A woman was gang -raped for three days after she was abducted at Aminpur Town.,Gang rape,,Female,,,,,https://www.dawn.com/news/1581466/eight-raped-in-parts-of-punjab,,,
"25th September, 2020",Sialkot,Punjab,"The girl was alone at her home when two armed suspects forced their entry there, raped her at gunpoint and fled away, leaving her injured. ",Rape,14,Female,,,,,https://www.dawn.com/news/1581466/eight-raped-in-parts-of-punjab,,,
"26th September, 2020",Faisalabad,Punjab,"A resident of Johar Colony Baseline filed a case concerning his paternal aunt who was travelling to Faisalabad from Sahiwal. When she reached near Faisalabad from Lari Adda in a rickshaw, she lost her way and was unable to find her nephew’s house. Taking advantage of the situation, the accused Muzammil Hussain, Raja and others, abducted the victim and took her to one the suspects’ house where they raped her.",Gang rape,,Female,,,,,https://tribune.com.pk/story/2265689/two-women-minor-allegedly-raped-in-faisalabad,,,
"26th September, 2020",Faisalabad,Punjab,"A woman was gang raped by the accused Arshad, Asif and Latif. The victim was alone in her house located in suburban village 73GB when the incident took place. Allegedly, this was the second time this victim was raped by the accused Arshad.",Gang rape,,Female,,,,,https://tribune.com.pk/story/2265689/two-women-minor-allegedly-raped-in-faisalabad,,,
"26th September, 2020",Faisalabad,Punjab,"11-year-old boy, the son of Muhammad Tahir was called by the accused Iftikhar to his farm in the suburban village 170GB. The accused then took the minor to Faisal Kamad area where he raped him.","Child abuse, rape",11,Male,,,,,https://tribune.com.pk/story/2265689/two-women-minor-allegedly-raped-in-faisalabad,,,
"26th September, 2020",Faisalabad,Punjab,"In Chak No 383GB, Amjad Ali teenage daughter was sleeping alone in her house when the accused Ijaz and Jahan Khan barged into her residence and attempted to rape her. However, the victim resisted and screamed which caught the attention of nearby people.",Attempted Rape,,Female,,,,,https://tribune.com.pk/story/2265689/two-women-minor-allegedly-raped-in-faisalabad,,,
"27th September, 2020",Sialkot,Punjab,"Shazia’s husband, mother-in-law Khursheed Bibi, father-in-law Bashir and others brutally tortured her when she demanded meal for herself and her minor children.",Set ablaze,,Female,,,,,https://www.dawn.com/news/1583111/woman-set-ablaze-by-in-laws-succumbs-to-her-burns,,,
"27th September, 2020",Faisalabad,Punjab,Girl killed by father with axe after refusing marriage proposal of maternal cousin,Murder,,Female,,,,,"https://gulfnews.com/world/asia/pakistan/pakistan-girl-refuses-marriage-proposal-father-kills-her-with-an-axe-in-faisalabad-1.1601304578955, https://arynews.tv/en/marriage-row-girl-killed/",,,
"27th September, 2020","Female, Female",SIndh,Two women killed over marriage issue ,Murder,,Female,Female,,,,https://www.samaa.tv/news/2020/09/two-women-in-dadu-marriage-issue/,,,
