Application Name||Description||Publisher||Version||Last Update||Installs||Android Compatability||Category||Functions||Audience||Useability Status||Playstore Rating||Playstore URL
Agri Smart||"Introduction:

In order to help agriculture extension workers for effective agricultural developments, Punjab Public Management Reform Program (PPMRP) introduced an application for agricultural interventions named AgriSmart. The AgriSmart initiative has been taken to create a digital data base of:
• Farmer advisory services
• Plant clinics
• Crop reporting
• Pest scouting and warnings
• Farmer trainings and mega gatherings
• Monitoring of agricultural inputs
This digitization of agricultural data will enable the implementation of long-term strategies to increase yields and land use maximization. The whole idea has been designed to facilitate farmers and consequently improve productivity whereas the database of the reported activities shall be used to plan more effective agricultural interventions.

---------------------------------------------------

Scope:
This application is covering full scope of the Agriculture Department Extension Wing. Keeping in view the needs of Performance Monitoring System, HR module, User Tracking, Digitization of Leave Approval System, Complaint Management System, Soil Sampling, and Modification of Farmers Training Program, application is covering all these activities, Moreover this application is first ever to have checks on Quality Control of Fertilizers and keep track on Research Trails. Application consists of 6 modules and 19 forms.
Application Services:
• Fertilizer Monitoring System
• Leave Application
• Complaints
• Extension Activities
• Reporting
• Pest Warning
• Departmental Activities
• Non-Departmental Activities
• Soil Sampling
• Farmer Training Programme
• Feedback Forms
• Research Trial"||Punjab IT Board||1.9||10/3/2020||10,000+||4.0 and up||Agriculture, Environment||Data Collection||General||Unuseable. Multiple issues with new Android devices. IMEI errors, internet connection errors included. App appears to be largely unuseable in its current state, a string of negative reviews throughout 2020 confirm this. The Punjab IT board has likely dropped support for this app.||3/5 (288)||https://play.google.com/store/apps/details?id=pk.gov.pitb.agrismart&hl=en&gl=US
Agri Subsidy||Agri Subsidy Application for vouchers redemption and Inquiry.||Punjab IT Board||1.0.7||1/10/2020||10,000+||4.2 and up||Agriculture, Microfinance||Unclear||General||LIkely unusable There isn't a sign up option which numerous users have taken an issue with, though this is likely because the app is meant for a particular audience who already have logins. ||3/5 (344)||https://play.google.com/store/apps/details?id=com.pitb.subsidymonitoring&hl=en&gl=US
AMIS Punjab||Agriculture Management Information System Punjab application provides daily prices of accomodoties available in market of different cities.||Punjab IT Board||1.0.28||14/04/2017||50,000+||3.0 and up||Commerce||Information Provision||General||Likely unusable. Uresolved crashing issue on numerous devices. ||3.23/5 (231)||https://play.google.com/store/apps/details?id=pitb.gov.pk.amis&hl=en&gl=US&showAllReviews=true
Bakar Mandi Online||Bakar Mandi Online is an initiative by Government of Punjab to introduce an online platform to facilitate buyers and sellers for performing sale and purchase of sacrificial animals. Buyers and sellers will directly negotiate with each other regarding price, transportation etc.||Punjab IT Board||1.3||19/07/2020||10,000+||4.4 and up||Commerce||Online Marketplace||General||Likely unusable. The OTP process appears to be broken as with most PUnjab IT board apps. ||3/5 (107)||https://play.google.com/store/apps/details?id=com.pitb.bakarmandi&hl=en&gl=US&showAllReviews=true
Baldiaonline||"“Baldiaonline”

- Delivering Services
- Empowering Communities

LG&CD Department is making efforts to facilitate residents of Punjab by making online services available."||Punjab IT Board||2.6||5/5/2021||100,000+||4.1 and up||General||Information Provision, Online Registration, all-encompassing||General||Likely Unusable. The login/OTP process appears to be broken once more. Users report numerous stability issues, with the app crashing, and bugs and inconviences in the process of filling out forms. ||3.25/5 (2939)||https://play.google.com/store/apps/details?id=com.pk.gov.baldia.online&hl=en&gl=US
Bardana Issuance & Wheat Procurement||Bardabna app specifically for facilitating the govt and food centers for the wheat procurement activity. The users would be able to issue bardana & perform wheat procurement activities efficiently through this app. The idea of this app is to induce appropriate technology and at the same time make beneficial in regards to current COVID-19 situation.||Punjab IT Board||2.0.0||31/03/2021||500+||4.3 and up||Agriculture||Unclear||Govt and food centers||Unclear||N/a||https://play.google.com/store/apps/details?id=pk.gov.pitb.dfdIssuance&hl=en&gl=US
Baytee||"The federal government has taken a great initiative to improve the wellbeing and skills of Pakistani women. Baytee App is the project of the Ministry of Information Technology and developed by the tech-savvy women developers and designers of the National Information Technology Board (NITB) for expediting the nation’s development.
Baytee mobile app is designed, developed, and maintained by passionate Pakistani female professionals to empower business-oriented and domestic women. Baytee app offers women one-click information on:
• Health services and hospitals
• Get information about the nearest woman police station and hostels
• Find the nearby job and training opportunities
• Inquire about schools and scholarships for women
• Keep updated about laws and regulations regarding women rights
• Helpline
• Platform for entrepreneurs
• Other public services for citizens of Pakistan"||National IT Board, Government Of Pakistan||1.6.0||13/12/2020||1,000+||4.4 and up||Inclusivity||Information Provision, Helpline, Service Locator||General||Useable. Not every feature appears to be equally responsive or fleshed out (i.e: some of the forms availabl a||3/5 (46)||https://play.google.com/store/apps/details?id=com.govpk.bayteeapp
City Islamabad||"The “City Islamabad” is the government service provider smart phone mobile application, developed exclusively for the citizens of Islamabad. The app bridges the gap between citizens and government departments by offering regulatory, consumer utilities and statutory services. At present, it has 7 sections and 44 services. The sections include e-police, Excise and Taxation, Capital Development Authority/Metropolitan Corporation Islamabad, City Guide, ICT Administration, Notifications, and featured services with multiple services like Domicile Certificate, International Driving Permit, Corruption, Accident, Token Tax Payment, Emergency Numbers and Vehicle Registration, within each section.

Please Note: The services offered within this app are for citizens of Islamabad.

You can forward us your suggestions at contact@icta.gov.pk"||National IT Board, Government Of Pakistan||2.4.0||24/05/2021||100,000+||4.4 and up||General||Information Provision, Online Registration, all-encompassing||General||Useable. Not every feature appears to be equally responsive or fleshed out (i.e: some of the forms available are non-functional in part)||4.25/5 (2082)||https://play.google.com/store/apps/details?id=com.gov.pk.ictadministration&hl=en&gl=US
Clean Lahore||Clean Lahore provides citizens a simple and instant way to log complaints. The complaints are assigned to the designated staff of LWMC and a complete redressal mechanism and assignment matrix is attached with each complaint. Let’s work together to keep Lahore clean.||Punjab IT Board||1.0.4||10/8/2019||5,000+||4.2 and up||Environment||Complaint Management||General||Likely useable. Major issues exist, the complaint mechanism is supposed to allow the uploading of pictures from the gallery, but this part of the app appears to be completely bugged.||2.5/5 (116)||https://play.google.com/store/apps/details?id=com.app.clean.lahore&hl=en&gl=US
Click ECP||"Primarily “ECP APP” is all about Election Commission of Pakistan. The official functionality and technology owner is National Information Technology Board (NITB). The app is officially developed, designed, and managed by the National Information Technology Board (NITB), commissioned by the Ministry of Information technology & Telecom (MoITT).

With ECP APP, National Information Technology Board enabling citizens to view notifications, updates and every other general information available on website of Election Commission of Pakistan

Users can get quick access to COMPLAINT MANAGEMENT SYSTEM for registering Complaint to the relevant authorities by Submitting Complaint.

FOR VOTERS

Get General information about how to register Your vote, Checking the status of Your registration and FAQ’s

ELECTIONS

Know details about General Elections, Senate Elections, LG Elections, and Delimitations etc

Also view
Overview of ECP, Honourable CEC, Honourable Members and details Officers with this app."||National IT Board, Government Of Pakistan||2||2/4/2021||1,000+||5.0 and up||Elections||Information Provision, Registration Status, Complaint Mangement||General||Unuseable. Doesn't proceed beyond the loading page. ||2.4/5 (385)||
